# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Sat, 29 Jul 2017 23:00:11 +0200
#
# IP	number of (black)lists
#
171.25.193.78	11
197.231.221.211	10
199.87.154.255	10
193.15.16.4	10
213.61.149.100	10
62.210.115.87	9
171.25.193.131	9
77.109.139.87	9
212.129.18.55	9
171.25.193.77	9
176.10.104.243	9
176.10.104.240	9
80.82.77.139	9
71.6.146.185	9
185.113.128.234	9
89.248.167.131	9
193.90.12.86	9
62.210.105.116	9
51.255.202.66	9
37.187.129.166	9
80.82.77.33	8
51.15.53.83	8
94.142.242.84	8
128.52.128.105	8
171.25.193.132	8
204.11.50.131	8
46.165.223.217	8
79.137.67.116	8
89.234.157.254	8
163.172.136.101	8
163.172.212.115	8
171.25.193.20	8
171.25.193.25	8
65.19.167.131	8
65.19.167.132	8
94.102.49.190	8
37.220.35.202	8
64.113.32.29	8
94.242.246.24	8
123.150.200.121	8
185.170.42.4	8
51.15.52.230	8
216.239.90.19	8
212.21.66.6	8
95.128.43.164	8
62.102.148.67	8
178.20.55.18	8
178.20.55.16	8
51.15.40.233	8
185.129.62.62	8
222.21.80.237	8
59.41.103.97	8
219.146.120.74	8
198.96.155.3	8
192.42.116.16	8
177.39.209.11	8
106.38.159.115	8
5.254.79.66	8
217.115.10.131	8
193.90.12.87	8
66.70.217.179	8
176.126.252.12	8
79.134.234.247	8
118.233.251.86	8
46.182.106.190	8
36.155.7.4	8
210.18.5.67	8
163.172.67.180	8
149.202.98.160	7
149.202.98.161	7
69.162.123.166	7
84.19.181.25	7
163.172.101.137	7
218.156.85.17	7
62.210.129.246	7
93.174.95.106	7
193.70.56.25	7
198.245.60.8	7
51.255.196.218	7
185.165.168.186	7
91.197.232.109	7
91.197.232.107	7
5.196.66.162	7
66.240.236.119	7
78.109.23.1	7
93.115.95.202	7
162.247.72.200	7
162.247.72.202	7
185.38.14.171	7
97.74.237.196	7
104.223.123.98	7
155.4.230.97	7
71.6.146.130	7
121.141.169.112	7
193.171.202.150	7
104.200.20.46	7
82.221.105.7	7
176.126.252.11	7
221.226.106.188	7
5.196.1.129	7
198.20.87.98	7
178.17.174.14	7
199.249.223.60	7
80.67.172.162	7
130.226.169.137	7
14.199.98.176	7
146.185.177.103	7
193.90.12.90	7
124.133.55.91	7
94.242.246.23	7
204.8.156.142	7
64.62.250.41	7
79.137.80.94	7
122.114.8.30	7
155.94.88.122	7
5.254.112.154	7
158.69.220.128	7
51.15.43.205	7
216.218.222.11	7
198.20.70.114	7
191.96.249.97	7
175.6.27.205	7
5.199.130.188	7
121.14.7.244	7
79.172.193.32	7
89.248.172.16	7
170.250.140.52	7
62.210.37.82	7
42.159.251.248	7
89.144.12.15	7
37.218.240.68	7
162.247.72.199	7
64.211.24.227	7
192.160.102.166	7
192.160.102.165	7
192.160.102.168	7
178.17.170.196	7
178.17.170.194	7
185.29.8.132	7
162.247.73.74	7
140.246.198.49	7
192.160.102.170	7
124.88.117.125	7
162.247.72.7	7
62.212.73.141	7
37.218.240.80	7
120.52.98.228	7
222.186.61.176	7
149.56.223.241	7
93.174.90.30	7
178.17.170.13	7
46.17.97.112	7
109.201.133.100	7
193.107.85.62	7
121.201.83.134	7
166.70.207.2	7
221.229.204.124	7
175.43.121.126	7
193.90.12.89	7
222.186.52.7	7
185.100.86.154	7
204.85.191.30	7
199.249.223.69	7
61.139.124.136	7
199.249.223.71	7
199.249.223.76	7
199.249.223.79	7
162.247.73.206	7
216.218.222.12	7
185.100.87.210	7
77.247.181.165	7
178.17.174.10	7
185.170.41.8	6
66.240.219.146	6
87.121.154.245	6
145.239.74.115	6
95.211.230.94	6
162.220.246.230	6
198.167.223.48	6
216.158.238.186	6
140.255.70.33	6
67.181.200.108	6
204.17.56.42	6
92.114.32.25	6
123.114.35.158	6
37.139.8.104	6
185.38.14.215	6
198.167.223.50	6
43.243.75.158	6
177.189.212.146	6
91.197.232.11	6
51.15.79.107	6
193.70.39.41	6
104.244.74.78	6
89.81.157.44	6
169.54.233.120	6
169.54.233.126	6
169.54.233.124	6
200.52.85.99	6
207.244.70.35	6
103.193.18.122	6
122.112.15.194	6
58.218.213.61	6
157.0.210.98	6
163.172.110.117	6
163.172.110.116	6
5.188.11.103	6
163.172.151.250	6
64.27.17.140	6
163.172.198.234	6
199.249.223.61	6
202.100.99.7	6
118.33.75.186	6
164.132.51.91	6
217.128.210.81	6
93.115.95.204	6
162.247.72.201	6
199.249.223.81	6
96.64.149.101	6
212.83.174.146	6
75.65.226.107	6
58.48.178.200	6
190.10.8.50	6
74.82.47.3	6
74.82.47.5	6
93.115.95.216	6
162.247.72.216	6
162.247.72.217	6
46.182.19.219	6
124.205.190.173	6
104.204.41.65	6
124.65.51.202	6
183.129.160.229	6
91.219.236.232	6
51.15.141.220	6
51.15.76.86	6
89.38.98.196	6
185.100.85.101	6
91.223.82.156	6
104.193.252.230	6
71.6.167.142	6
93.174.93.133	6
122.156.234.148	6
89.34.237.101	6
163.172.223.200	6
120.29.217.46	6
5.101.40.10	6
212.83.152.232	6
72.2.170.24	6
195.123.212.34	6
87.118.122.30	6
158.85.81.122	6
158.85.81.123	6
185.100.84.82	6
114.255.78.180	6
24.202.145.142	6
59.120.6.100	6
46.101.139.248	6
71.84.50.96	6
114.243.39.133	6
65.19.167.130	6
212.83.40.239	6
198.0.148.211	6
121.194.2.248	6
85.143.219.211	6
66.240.192.138	6
213.151.249.186	6
115.85.82.90	6
103.207.39.148	6
180.153.19.139	6
94.255.137.198	6
185.104.120.4	6
185.104.120.7	6
95.130.11.147	6
83.144.70.10	6
195.228.45.176	6
221.229.166.44	6
218.2.197.240	6
162.213.3.221	6
51.15.62.146	6
87.118.115.176	6
89.31.57.5	6
219.134.191.115	6
158.85.81.117	6
5.9.158.75	6
121.166.93.184	6
212.129.1.15	6
101.78.251.60	6
88.190.235.84	6
190.102.140.100	6
212.129.48.92	6
112.220.143.29	6
118.163.229.54	6
103.207.36.104	6
217.182.74.253	6
117.131.33.213	6
206.221.190.2	6
37.204.19.34	6
193.169.135.133	6
185.165.29.117	6
119.246.243.19	6
198.50.200.129	6
62.4.14.101	6
223.99.142.9	6
149.56.135.190	6
41.206.188.206	6
113.122.158.113	6
103.79.141.133	6
46.182.18.214	6
163.172.17.76	6
212.83.174.55	6
83.223.0.219	6
89.32.127.178	6
144.217.161.119	6
211.72.254.202	6
94.102.49.193	6
153.37.150.197	6
209.66.119.150	6
155.133.82.112	6
112.53.78.26	6
72.203.114.221	6
87.118.122.50	6
180.169.20.145	6
46.165.230.5	6
101.207.248.14	6
96.28.81.66	6
115.182.100.37	6
187.141.143.180	6
78.203.142.96	6
192.160.102.164	6
192.160.102.169	6
51.254.23.203	6
108.56.199.13	6
221.0.194.23	6
212.26.233.5	6
59.7.148.49	6
107.181.174.84	6
128.153.146.125	6
91.219.237.229	6
104.237.202.7	6
169.53.184.5	6
51.15.147.86	6
123.59.182.194	6
64.124.32.84	6
86.126.86.88	6
199.249.223.63	6
86.20.31.215	6
111.11.27.140	6
91.197.234.102	6
211.88.76.174	6
217.72.49.24	6
5.28.62.85	6
77.247.181.163	6
185.72.244.24	6
111.40.166.130	6
92.222.6.12	6
149.56.97.139	6
218.61.30.235	6
124.243.216.102	6
67.205.146.164	6
94.231.112.88	6
189.114.229.185	6
193.110.157.151	6
221.122.133.17	6
85.248.227.164	6
193.201.225.45	6
82.208.140.34	6
178.209.42.84	6
163.172.151.47	6
87.118.116.12	6
106.3.40.104	6
195.219.163.68	6
79.137.79.167	6
51.15.152.29	6
185.94.111.1	6
202.100.182.250	6
163.172.227.117	6
212.47.246.21	6
185.100.84.108	6
199.249.223.67	6
199.249.223.66	6
199.249.223.62	6
200.113.197.2	6
60.191.38.77	6
222.186.50.38	6
87.121.10.189	6
71.6.135.131	6
46.29.248.238	6
212.83.149.247	6
179.185.63.64	6
195.154.56.39	6
199.249.223.72	6
199.249.223.73	6
199.249.223.74	6
199.249.223.77	6
199.249.223.78	6
71.6.165.200	6
118.85.194.26	6
46.182.18.40	6
85.248.227.165	6
85.248.227.163	6
198.20.69.74	6
188.37.72.208	6
187.115.165.204	6
37.187.7.74	6
66.180.193.219	6
169.54.233.118	6
61.160.196.107	6
141.170.2.53	6
